x y label
4926.933172027899 1515.2280567121234 b
913.4375047876047 -3400.676204663795 b
2329.656492901867 494.08157837988256 b
1481.4573526369222 524.6915371458772 b
-167.1783256845647 3581.0701319896907 b
-4207.685602399266 4970.596590937539 b
-4616.198189095872 -3570.2080347966526 b
2968.669129589329 4087.853505550862 b
793.0703402650543 1925.894036319015 b
4838.241737404049 -1462.9294346940278 b
1693.9551075204627 3694.76028070953 b
-4604.712636839732 1878.1592195079602 b
-73.1160375073332 -3651.760325807869 b
-1597.1645216824459 1718.5823661059121 b
3234.020918971981 -1657.9861692263567 b
913.1605906450422 3615.0673716764213 b
259.80034296529993 -1883.637397199519 b
-4708.504347453703 -4268.988047477866 b
1525.276208747854 97.58053361083512 b
-2623.074465576828 3805.2277784318594 b
1631.3522657548729 3409.2803525932195 b
-4946.327266297171 2061.125236479548 b
2822.5490090047424 2819.713476548777 b
3338.3739206368464 4904.4005776343365 b
